Date,Time,Source,Street,Tags,Link
14 giugno 2018,20:22,MilanoToday,Viale Monza,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/a4-certosa.html
09 giugno 2018,13:57,MilanoToday,Viale Monza,arresti,https://www.milanotoday.it/cronaca/armato-stazione-sesto.html
26 aprile 2018,15:26,MilanoToday,Viale Monza,incidenti-stradali,https://www.milanotoday.it/cronaca/viale-monza-condannato-appello.html
11 aprile 2018,07:58,MilanoToday,Viale Monza,furti,https://www.milanotoday.it/cronaca/arrestati-corrieri-peruviani.html
27 marzo 2018,14:30,MilanoToday,Viale Monza,arresti,https://www.milanotoday.it/cronaca/violenza-sessuale-bambina-monza.html
24 marzo 2018,16:05,MilanoToday,Viale Monza,furti,https://www.milanotoday.it/zone/cologno/furto-bancomat-viale-lombardia.html
24 marzo 2018,15:53,MilanoToday,Viale Monza,rapine,https://www.milanotoday.it/video/rapina-bancomat-cologno.html
20 marzo 2018,15:09,MilanoToday,Viale Monza,furti,https://www.milanotoday.it/cronaca/furto-auto-viale-monza.html
17 marzo 2018,13:53,MilanoToday,Viale Monza,"indagini,arresti",https://www.milanotoday.it/cronaca/omicidio-cinisello-arresti.html
16 marzo 2018,15:38,MilanoToday,Viale Monza,"rapine,arresti",https://www.milanotoday.it/cronaca/rapina-rolex-arresti.html
16 marzo 2018,13:21,MilanoToday,Viale Monza,rapine,https://www.milanotoday.it/video/rapina-rolex.html
07 marzo 2018,19:03,MilanoToday,Viale Monza,"incidenti-stradali,indagini,morti",https://www.milanotoday.it/cronaca/incidente-stradale/bimbo-morto-omicidio-colposo.html
05 marzo 2018,15:44,MilanoToday,Viale Monza,arresti,https://www.milanotoday.it/cronaca/inseguimento-via-rossi.html
20 febbraio 2018,16:50,MilanoToday,Viale Monza,"furti,arresti",https://www.milanotoday.it/cronaca/camion-rubati-via-selvanesco.html
31 gennaio 2018,18:26,MilanoToday,Viale Monza,rapine,https://www.milanotoday.it/zone/cologno/rapina-u2-via-perego.html
31 gennaio 2018,11:09,MilanoToday,Viale Monza,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/viale-monza-ora.html
28 gennaio 2018,08:16,MilanoToday,Viale Monza,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/moto-viale-scarampo.html
24 gennaio 2018,13:54,MilanoToday,Viale Monza,"rapine,arresti",https://www.milanotoday.it/cronaca/rapinatore-seriale-prostitute.html
09 gennaio 2018,15:41,MilanoToday,Viale Monza,morti,https://www.milanotoday.it/cronaca/morto-manager-scomparso-.html
Date,Time,Source,Street,Tags,Link
26 ottobre 2021,17:13,MilanoToday,Piazza Duca d'Aosta,"rapine,arresti",https://www.milanotoday.it/cronaca/ricercato-rapina-stazione-centrale.html
26 ottobre 2021,13:55,MilanoToday,Piazza Duca d'Aosta,arresti,https://www.milanotoday.it/cronaca/rapinatore-arrestato-stazione.html
07 ottobre 2021,15:55,MilanoToday,Piazza Duca d'Aosta,"rapine,indagini,arresti",https://www.milanotoday.it/cronaca/rapinato-stazione-marsupio-zaino.html
01 ottobre 2021,13:19,MilanoToday,Piazza Duca d'Aosta,rapine,https://www.milanotoday.it/cronaca/rapina-portafogli-dorme-stazione-centrale.html
18 settembre 2021,15:27,MilanoToday,Piazza Duca d'Aosta,furti,https://www.milanotoday.it/cronaca/furto-zaino-duca-aosta.html
13 settembre 2021,16:17,MilanoToday,Piazza Duca d'Aosta,"droga,arresti",https://www.milanotoday.it/cronaca/droga-treno-green-pass.html
08 settembre 2021,12:06,MilanoToday,Piazza Duca d'Aosta,"arresti,aggressioni",https://www.milanotoday.it/cronaca/pipi-picchia-militari-stazione.html
01 settembre 2021,13:06,MilanoToday,Piazza Duca d'Aosta,"furti,arresti",https://www.milanotoday.it/cronaca/arresti-metro-centrale-furto.html
26 agosto 2021,12:25,MilanoToday,Piazza Duca d'Aosta,arresti,https://www.milanotoday.it/cronaca/ragazzo-arrestato_stazione-centrale.html
19 agosto 2021,14:57,MilanoToday,Piazza Duca d'Aosta,furti,https://www.milanotoday.it/cronaca/ladri-portafogli-francesi.html
18 agosto 2021,13:17,MilanoToday,Piazza Duca d'Aosta,"arresti,aggressioni",https://www.milanotoday.it/cronaca/picchia-passeggero-treno-bologna.html
02 agosto 2021,13:32,MilanoToday,Piazza Duca d'Aosta,rapine,https://www.milanotoday.it/cronaca/rapina-ragazza-bici-stazione-centrale.html
25 luglio 2021,12:06,MilanoToday,Piazza Duca d'Aosta,"rapine,arresti",https://www.milanotoday.it/cronaca/rapina-senzatetto-stazione-centrale.html
08 luglio 2021,12:17,MilanoToday,Piazza Duca d'Aosta,"furti,arresti",https://www.milanotoday.it/cronaca/ladra-metro-partorisce.html
02 luglio 2021,16:05,MilanoToday,Piazza Duca d'Aosta,arresti,https://www.milanotoday.it/cronaca/ricercati-arrestati-stazione.html
30 giugno 2021,15:47,MilanoToday,Piazza Duca d'Aosta,"rapine,arresti",https://www.milanotoday.it/cronaca/rapina-skate-stazione.html
24 giugno 2021,15:51,MilanoToday,Piazza Duca d'Aosta,droga,https://www.milanotoday.it/cronaca/spacciatore-arrestato-stazione-centrale-pero.html
24 giugno 2021,09:23,MilanoToday,Piazza Duca d'Aosta,aggressioni,https://www.milanotoday.it/cronaca/picchiato-stazione-centrale-24-giugno.html
24 giugno 2021,09:01,MilanoToday,Piazza Duca d'Aosta,aggressioni,https://www.milanotoday.it/cronaca/accoltellato-politecnico-leonardo-vinci.html
18 giugno 2021,12:44,MilanoToday,Piazza Duca d'Aosta,aggressioni,https://www.milanotoday.it/zone/loreto/aggressione-18-giugno-2021.html
14 giugno 2021,09:41,MilanoToday,Piazza Duca d'Aosta,aggressioni,https://www.milanotoday.it/cronaca/accoltellato-stazione-centrale-14-giugno-2021.html
10 giugno 2021,14:41,MilanoToday,Piazza Duca d'Aosta,arresti,https://www.milanotoday.it/cronaca/documenti-falsi-metro-centrale-arresti.html
07 giugno 2021,16:04,MilanoToday,Piazza Duca d'Aosta,arresti,https://www.milanotoday.it/cronaca/evade-fidanzata-minorenne.html
10 maggio 2021,13:41,MilanoToday,Piazza Duca d'Aosta,"rapine,arresti,aggressioni",https://www.milanotoday.it/cronaca/rapina-portafogli-centrale-arresto.html
03 maggio 2021,13:46,MilanoToday,Piazza Duca d'Aosta,"rapine,furti,arresti",https://www.milanotoday.it/cronaca/furto-stazione-ricercato-spagna.html
23 aprile 2021,17:21,MilanoToday,Piazza Duca d'Aosta,arresti,https://www.milanotoday.it/cronaca/ricercato-stazione-centrale-ordini-carcerazione.html
12 marzo 2021,12:08,MilanoToday,Piazza Duca d'Aosta,"arresti,aggressioni",https://www.milanotoday.it/cronaca/aggredisce-esercito-polizia-stazione.html
15 gennaio 2021,11:26,MilanoToday,Piazza Duca d'Aosta,rapine,https://www.milanotoday.it/cronaca/rapinatore-perde-documenti.html
08 gennaio 2021,13:01,MilanoToday,Piazza Duca d'Aosta,arresti,https://www.milanotoday.it/cronaca/latitante-arrestato_stazione-centrale.html
